pair_id,label,complex,simple,complex_words,simple_words,compression_ratio
CD006895,rephrase,"Evidence showing a decrease in the number of people absent from childcare centre, school, or work due to acute URTIs with probiotics is very uncertain (RR 0.14, 95% CI 0.03 to 0.59; 1 study, 80 participants; very low-certainty evidence).","Evidence showing a decrease in the number of people absent from childcare centre, school, or work due to acute URTIs with probiotics was very uncertain.",39,25,0.6410256410256411
CD006895,rephrase,"Overall, we found that probiotics were better than placebo or no treatment in preventing acute URTIs.",We wanted to find out if probiotics prevent acute URTIs in people of all ages with a healthy immune system.,16,20,1.25
CD008987,rephrase,"We included three randomised controlled trials, involving a total of 251 participants.",This review includes evidence from three randomised controlled trials with a total of 251 participants.,12,15,1.25
CD008987,merge,All three trials were at high risk of performance bias reflecting the fact that surgeons could not be blinded.,"All three trials were at some risk of bias, which means that their results may not be reliable.",19,18,0.9473684210526315
CD008987,rephrase,Two trials compared radial head replacement with open reduction and internal fixation (ORIF) for treating Mason type III radial head fractures.,Two trials compared radial head replacement with ORIF for treating highly fragmented radial head fractures.,21,15,0.7142857142857143
CD008987,rephrase,One trial compared biodegradable pins with standard metal screws in treating radial head fractures of AO-classification 21 B2.,One trial compared biodegradable pins with standard metal screws in treating displaced radial head fractures.,18,15,0.8333333333333334
CD008987,rephrase,"The two types of fixation devices yielded similar results, with no significant between-group differences in the Broberg and Morrey scores (93.3 versus 90.9, MD 2.40; 95% CI -0.10 to 4.90), excellent or good Broberg and Morrey elbow scores (72/74 versus 56/61, RR 1.06; 95% CI 0.97 to 1.15), and adverse events (13/82 versus 16/82, RR 0.81; 95% CI 0.42 to 1.58) at two-year follow-up.",It found similar results for the two types of materials in terms of elbow function and adverse events.,64,18,0.28125
CD008987,rephrase,"Compared with ORIF, there was some evidence that radial head replacement had better elbow function and fewer adverse events for Mason type III radial head fractures in the short term.","Overall, there is some evidence to support radial head replacement for treating highly fragmented radial head fractures instead of attempting to fix the fractured bone back in place.",30,28,0.9333333333333333
CD008987,ignore,"However, the evidence is of low quality and it is unknown whether these results would apply in the longer term or more generally.","However, the evidence is low quality and it is unknown whether these results would apply in the longer term or more generally.",23,22,0.9565217391304348
CD008987,ignore,Using biodegradable implants may be as good as metallic implants for fixation of some usually more stable fractures but more evidence is needed to confirm this.,Using biodegradable implants may be as good as metallic implants for fixing some usually more stable fractures but more evidence is needed to confirm this.,26,25,0.9615384615384616
CD003763,rephrase,"Three trials involving a total of 404, mainly female and older, people with displaced fractures of the distal radius were included.","Three randomised controlled trials involving a total of 404, mainly female and older, people with displaced fractures of the distal radius are included in this review.",21,26,1.2380952380952381
CD003763,rephrase,"These failed to assess functional outcome, and only one trial reported on complications.","None of the trials assessed functional outcome, and only one trial reported on complications.",13,14,1.0769230769230769
CD003763,none,All participants of this trial were given intravenous regional anaesthesia.,"One trial, in which all participants had intravenous regional anaesthesia, found no significant differences in anatomical outcomes between mechanical reduction using finger trap traction and manual reduction.",10,27,2.7
CD003763,split,One trial compared a novel method of manual reduction where the non-anaesthetised patient actively provided counter-traction versus traditional manual reduction under intravenous regional anaesthesia.,Each trial compared different methods of reduction. The second trial compared two methods of manual reduction. These were a novel method of manual reduction where participants actively provided counter-traction without being given anaesthesia versus traditional manual reduction under intravenous regional anaesthesia.,24,41,1.7083333333333333
CD003763,ignore,"While participants of the novel method group suffered more, yet not intolerable, pain during the reduction procedure, the latter was shorter in duration.","The participants of the novel method group suffered more but not intolerable pain during the reduction procedure, which was shorter in duration.",23,22,0.9565217391304348
CD003763,ignore,No differences in anatomical outcome were detected.,No differences in anatomical outcome were detected.,7,7,1.0
CD003763,ignore,The third study compared mechanical reduction involving a special device without anaesthesia versus manual reduction under haematoma block (local anaesthesia).,The third trial compared mechanical reduction involving a special device without anaesthesia versus manual reduction under haematoma block (local anaesthesia).,20,20,1.0
CD003763,ignore,Less pain during the reduction procedure was recorded for the mechanical traction group.,Less pain during the reduction procedure was recorded for the mechanical traction group.,13,13,1.0
CD003763,rephrase,Both methods yielded similar radiological results.,Both methods yielded similar anatomical results.,6,6,1.0
CD003763,ignore,"Fewer participants of the mechanical traction group had signs of neurological impairment, mainly finger numbness, at five weeks but this difference was not statistically significant by one year.","Fewer participants of the mechanical traction group had signs of neurological impairment, mainly finger numbness, at five weeks but this difference was not statistically significant by one year.",28,28,1.0
CD003763,rephrase,There was insufficient evidence from comparisons tested within randomised controlled trials to establish the relative effectiveness of different methods of closed reduction used in the treatment of displaced fractures of the distal radius in adults.,The review concluded that there was not enough evidence to decide whether there was any difference between the various methods tested.,35,21,0.6
CD007196,split,"Only one trial including 75 participants (average age: 43 years; females: 65% of participants), randomised to early laparoscopic cholecystectomy (less than 24 hours after diagnosis) (n = 35) or delayed laparoscopic cholecystectomy (mean waiting period of 4.2 months) (n = 40), contributed information to this review.","Only one trial including 75 participants (average age: 43 years; females: 65% of participants) provided information for this review. In this trial, 35 participants underwent early laparoscopic cholecystectomy (less than 24 hours after diagnosis) and 40 participants underwent delayed laparoscopic cholecystectomy after an average waiting period of approximately four months.",46,50,1.0869565217391304
CD007196,rephrase,The trial had a high risk of bias.,This trial was at high risk of bias (systematic errors or errors in study design which may influence the conclusions).,8,20,2.5
CD007196,rephrase,There were no deaths in the early group (0/35) (0%) versus 1/40 (2.5%) in the delayed laparoscopic cholecystectomy group (P > 0.9999).,There were no deaths in the early group (0 out of 35) (0%) and there was one death (1 out of 40) (2.5%) in the delayed laparoscopic cholecystectomy group.,22,29,1.3181818181818181
CD007196,none,There were no serious adverse events related to the surgery in either group.,There were no serious complications related to the surgery in either group.,13,12,0.9230769230769231
CD007196,rephrase,"During the waiting period, complications developed in the delayed laparoscopic cholecystectomy group.","During the waiting period, 9 out of 40 participants (22.5%) developed gallstone-related serious complications.",12,14,1.1666666666666667
CD007196,ignore,"In total, 14 participants required hospital admissions for the above symptoms.","In total, 14 participants required hospital admissions for the above symptoms.",11,11,1.0
CD007196,split,All of these admissions occurred in the delayed group as all the participants were operated on within 24 hours in the early group.,All of these participants were from the delayed group. All the participants in the early group were operated on within 24 hours.,23,22,0.9565217391304348
CD007196,rephrase,"The proportion of people who developed serious adverse events was 0/28 (0%) in the early group, which was significantly lower than in the delayed laparoscopic cholecystectomy group 9/40 (22.5%) (P = 0.0082).",The proportion of participants who developed serious complications was significantly lower in the early group than the proportion of participants in the delayed laparoscopic cholecystectomy group.,32,26,0.8125
CD007196,rephrase,This trial did not report quality of life or return to work.,Quality of life and return to work were not reported in this trial.,12,13,1.0833333333333333
CD007196,rephrase,There was no significant difference in the proportion of people who required conversion to open cholecystectomy in the early group 0/28 (0%) compared with the delayed group (6/35 or 17.1%) (P = 0.0743).,There was no significant difference in the proportion of participants who required conversion to open removal of the gallbladder.,33,19,0.5757575757575758
CD007196,rephrase,"There was a statistically significant shorter hospital stay in the early group than in the delayed group (MD -1.25 days, 95% CI -2.05 to -0.45).",The hospital stay was significantly shorter (by about one day) in the early group than the delayed group.,25,18,0.72
CD007196,rephrase,"There was a statistically significant shorter operating time in the early group than the delayed group (MD -14.80 minutes, 95% CI -18.02 to -11.58).",The operating time was significantly shorter (by about 15 minutes) in the early group than the delayed group.,24,18,0.75
CD007196,rephrase,"Based on evidence from only one high-bias risk trial, it appears that early laparoscopic cholecystectomy (less than 24 hours after diagnosis of biliary colic) decreases the morbidity during the waiting period for elective laparoscopic cholecystectomy (mean waiting time 4.2 months), the hospital stay, and operating time.","Based on evidence from only one high-bias risk trial, it appears that early laparoscopic cholecystectomy performed within 24 hours of diagnosis of biliary colic decreases serious complications, hospital stay, and operating time compared with delayed laparoscopic cholecystectomy with an average waiting time of four months.",46,45,0.9782608695652174
CD007196,rephrase,"Further randomised clinical trials are necessary to confirm or refute these findings, and to determine if early laparoscopic cholecystectomy is better than the delayed laparoscopic cholecystectomy if the waiting time is shortened further.","Further well designed, randomised clinical trials are necessary to confirm or refute these findings.",33,14,0.42424242424242425
CD003797,none,The studies were overall of unclear quality.,We found six small trials of unclear quality answering these two questions.,7,12,1.7142857142857142
CD003797,rephrase,Data could only be pooled for the outcomes of treatment failure and hospitalisation.,We were only able to combine data for treatment failure and hospitalisation.,13,12,0.9230769230769231
CD003797,split,Meta-analysis revealed that children who received anticholinergics alone were significantly more likely to have treatment failure compared to those who received beta2-agonists from four trials on 171 children (odds ratio (OR) 2.27; 95% CI 1.08 to 4.75).,We found data from four trials on 171 children comparing anticholinergics with beta2-agonists. Children on anticholinergics alone were significantly more likely to experience treatment failure than those on beta2-agonists (odds ratio (OR) 2.27; 95% CI 1.08 to 4.75).,37,38,1.027027027027027
CD003797,split,"Also, treatment failure on anticholinergics alone was more likely than when anticholinergics were combined with beta2-agonists from four trials on 173 children (OR 2.65; 95% CI 1.2 to 5.88).","We also found data from four trials on 173 children comparing children on anticholinergics alone with children on anticholinergics plus beta2-agonists. In this case, treatment failure was more likely in children taking anticholinergics only than if they were combined with beta2-agonists (OR 2.65; 95% CI 1.2 to 5.88).",29,48,1.6551724137931034
CD003797,rephrase,Inhaled anticholinergics were also less efficacious than inhaled anticholinergics combined with beta2-agonists.,"In summary, we found that inhaled anticholinergics used on their own are less effective than inhaled beta2-agonists used alone or in combination with anticholinergics.",12,24,2.0
CD003797,rephrase,Inhaled anticholinergic drugs alone are not appropriate for use as a single agent in children with acute asthma exacerbations.,"Inhaled anticholinergics seem safe, with no significant side effects apparent.",19,10,0.5263157894736842
CD004624,rephrase,A total of 2241 participants were enrolled in these trials.,Seven studies with a total of 2241 participants all involving a direct comparison of ibuprofen to paracetamol or the combination of both were included in this review.,10,27,2.7
CD004624,rephrase,"The combined drug showed promising results, with a risk ratio for at least 50% of the maximum pain relief over six hours of 1.77 (95% CI 1.32 to 2.39) (paracetamol 1000 mg and ibuprofen 400 mg) (one trial; moderate quality evidence), and risk ratio not using rescue medication 1.60 (95% CI 1.36 to 1.88) (two trials; moderate quality evidence).","When comparing combined versus single drugs, the body of evidence for the proportion of patients with > 50% maximum pain relief (TOTPAR) over two and six hours, was assessed as of moderate quality due to imprecise estimates based on single studies.",59,41,0.6949152542372882
CD004624,ignore,"The information available regarding adverse events from the studies (including nausea, vomiting, headaches and dizziness) indicated that they were comparable between the treatment groups.","The information available regarding adverse events from the studies (including nausea, vomiting, headaches and dizziness) indicated that they were comparable between the treatment groups.",24,24,1.0
CD004624,ignore,"However, we could not formally analyse the data as it was not possible to work out how many adverse events there were in total.","However, review authors could not formally analyse the data as it was not possible to work out how many adverse events there were in total.",24,25,1.0416666666666667
CD004624,rephrase,There is high quality evidence that ibuprofen is superior to paracetamol at doses of 200 mg to 512 mg and 600 mg to 1000 mg respectively based on pain relief and use of rescue medication data collected at six hours postoperatively.,The body of evidence for the use of rescue medication was assessed as being of high quality.,41,17,0.4146341463414634
CD004624,rephrase,"The majority of this evidence (five out of six trials) compared ibuprofen 400 mg with paracetamol 1000 mg, these are the most frequently prescribed doses in clinical practice.","On limited evidence, the combination of ibuprofen and paracetamol appeared to be no more effective than the single drugs when measured two hours after surgery.",28,25,0.8928571428571429
CD011745,rephrase,"We included 15 trials (39,908 participants) that evaluated antihypertensive pharmacotherapy for a mean duration of follow-up of 4.2 years.","We found 15 trials including 39,908 people that investigated whether blood pressure-lowering drugs reduce sudden death.",19,16,0.8421052631578947
CD011745,rephrase,"This review provides moderate-quality evidence to show that antihypertensive drugs do not reduce sudden death (risk ratio (RR) 0.96, 95% confidence interval (CI) 0.81 to 1.15) but do reduce both non-fatal myocardial infarction (RR 0.85, 95% CI 0.74, 0.98; absolute risk reduction (ARR) 0.3% over 4.2 years) and fatal myocardial infarction (RR 0.75, 95% CI 0.62 to 0.90; ARR 0.3% over 4.2 years).",This review presents moderate-quality evidence to show that blood pressure-lowering drugs reduce heart attacks but do not appear to reduce sudden cardiac death.,63,23,0.36507936507936506
CD011745,rephrase,This suggests that sudden cardiac death may not be caused primarily by acute myocardial infarction.,This suggests that sudden cardiac death may not be caused primarily by heart attack.,15,14,0.9333333333333333
CD011745,ignore,Continued research is needed to determine the causes of sudden cardiac death.,Continued research is needed to determine the causes of sudden cardiac death.,12,12,1.0
CD003283,rephrase,Only two trials of limited quality met our inclusion criteria.,We found only two trials that looked at two-phase versus three-phase birth control pills.,10,14,1.4
CD003283,rephrase,"One study compared two biphasic pills and one triphasic pill, each containing levonorgestrel and ethinyl estradiol.",One study compared two types of two-phase pills with a three-phase pill.,16,12,0.75
CD003283,rephrase,"No important differences emerged, and the frequency of discontinuation due to medical problems was similar with all three pills.","The pills did not differ in any major ways, including the numbers of women who stopped using the pills due to health problems.",19,23,1.2105263157894737
CD003283,rephrase,The other trial compared a biphasic pill containing norethindrone (Ortho 10/11) with a triphasic pill containing levonorgestrel (Triphasil) and with another triphasic containing norethindrone (Ortho 7/7/7).,The other trial compared a two-phase pill with two different three-phase pills.,26,12,0.46153846153846156
CD003283,rephrase,"In contrast, cycle control with the biphasic pill was comparable to that of the triphasic containing the same progestin (norethindrone).","In contrast, bleeding with the two-phase pill was like that of the three-phase pill with the same hormone (norethindrone).",20,19,0.95
CD003283,rephrase,The choice of progestin may be more important than the phasic regimen in determining bleeding patterns.,The type of hormone may be more important than the phases for cycle control.,16,14,0.875
CD010882,rephrase,We included in the review two studies with a total of 30 randomly assigned participants.,We identified two studies involving 30 participants up to April 2015.,15,11,0.7333333333333333
CD010882,rephrase,We were not able to perform meta-analysis because of heterogeneity related to the different interventions evaluated between included studies.,"We are uncertain as to whether comparison of different pharmacological interventions (rivastigmine, transdermal nicotine)showed an important effect on (1) the ability of people to recognize their paralyzed limb, and (2) independence in daily life functions after stroke, because results were imprecise and included studies did not report most of the predefined outcomes (ie, falls, balance, depression or anxiety, poststroke fatigue, and quality of life).",19,64,3.3684210526315788
CD010882,rephrase,The quality of the evidence from available RCTs was very low.,The quality of the evidence obtained from available randomized controlled trials was very low.,11,14,1.2727272727272727
CD010882,ignore,The effectiveness and safety of pharmacological interventions for USN after stroke are therefore uncertain.,The effectiveness and safety of pharmacological interventions for USN after stroke are therefore uncertain.,14,14,1.0
CD010882,rephrase,Additional large RCTs are needed to evaluate these treatments.,Additional large randomized controlled trials are needed to evaluate these treatments.,9,11,1.2222222222222223
CD011354,rephrase,Study participants had recalcitrant ulcers that had not healed after treatment over a six-month period.,The study was small with 60 participants who had hard-to-heal ulcers.,15,11,0.7333333333333333
CD011354,rephrase,A punch skin-graft transplantation was conducted and the wound then exposed to further NPWT for four days followed by standard care.,"In the study, the ulcers were treated with NPWT or with normal (standard) care until the wounds were considered ready to have a skin graft applied.",21,26,1.2380952380952381
CD011354,rephrase,All participants were treated as in-patients until healing occurred.,Participants remained in hospitals during treatment and until their wounds healed.,9,11,1.2222222222222223
CD011354,rephrase,"There was low quality evidence of a difference in time to healing that favoured the NPWT group: the study reported an adjusted hazard ratio of 3.2, with 95% confidence intervals (CI) 1.7 to 6.2.",There was low evidence from this study that ulcers treated with NPWT healed more quickly than those treated with standard care (dressings and compression).,34,24,0.7058823529411765
CD011354,rephrase,Limited data on adverse events were collected: these provided low quality evidence of no difference in pain scores and Euroqol (EQ-5D) scores at eight weeks after surgery.,There were very limited results for other outcomes such as adverse events (harms) and it was not clear how information about adverse effects was collected.,27,25,0.9259259259259259
CD011354,rephrase,There is limited rigorous RCT evidence available concerning the clinical effectiveness of NPWT in the treatment of leg ulcers.,"The evidence for the effectiveness of NPWT in treating leg ulcers is very limited, and at present consists of only one study with 60 participants.",19,25,1.3157894736842106
CD011354,rephrase,"There is some evidence that the treatment may reduce time to healing as part of a treatment that includes a punch skin graft transplant, however, the applicability of this finding may be limited by the very specific context in which NPWT was evaluated.",This study provided evidence that NPWT may reduce time to healing as part of a treatment that includes a skin graft.,43,21,0.4883720930232558
CD011354,rephrase,There is no RCT evidence on the effectiveness of NPWT as a primary treatment for leg ulcers.,"At present, no RCTs have investigated the effectiveness of NPWT as a main treatment for leg ulcers.",17,17,1.0
CD010115,split,"We found 43 studies that met the inclusion criteria, and more evidence was provided for fluticasone (26 studies; n = 21,247) than for budesonide (17 studies; n = 10,150).","We found 43 studies including more than 30,000 people with COPD. More studies used fluticasone (26 studies; 21,247 people) than budesonide (17 studies; 10,150 people).",29,25,0.8620689655172413
CD010115,rephrase,"Evidence from the budesonide studies was more inconsistent and less precise, and the studies were shorter.","Results from the budesonide studies were generally less clear because they were based on fewer people, and the studies were shorter.",16,21,1.3125
CD010115,split,"Fluticasone increased non-fatal serious adverse pneumonia events (requiring hospital admission) (odds ratio (OR) 1.78, 95% confidence interval (CI) 1.50 to 2.12; 18 more per 1000 treated over 18 months; high quality), and no evidence suggested that this outcome was reduced by delivering it in combination with salmeterol or vilanterol (subgroup differences: I2 = 0%, P value 0.51), or that different doses, trial duration or baseline severity significantly affected the estimate.","Fluticasone increased 'serious' pneumonias (requiring hospital admission). Over 18 months, 18 more people of every 1000 treated with fluticasone were admitted to hospital for pneumonia.",70,25,0.35714285714285715
CD010115,rephrase,"Budesonide also increased non-fatal serious adverse pneumonia events compared with placebo, but the effect was less precise and was based on shorter trials (OR 1.62, 95% CI 1.00 to 2.62; six more per 1000 treated over nine months; moderate quality).",Budesonide also increased pneumonias that were classed as 'serious'.,40,9,0.225
CD010115,rephrase,"Some of the variation in the budesonide data could be explained by a significant difference between the two commonly used doses: 640 mcg was associated with a larger effect than 320 mcg relative to placebo (subgroup differences: I2 = 74%, P value 0.05).",A lower dose of budesonide (320 mcg) was associated with fewer serious pneumonias than a higher dose (640 mcg).,43,19,0.4418604651162791
CD010115,rephrase,An indirect comparison of budesonide versus fluticasone monotherapy revealed no significant differences with respect to serious adverse events (pneumonia-related or all-cause) or mortality.,"We also conducted an indirect comparison of budesonide and fluticasone based on their effects against placebo, to explore whether one drug was safer than the other.",23,26,1.1304347826086956
CD010115,rephrase,"The risk of any pneumonia event (i.e. less serious cases treated in the community) was higher with fluticasone than with budesonide (OR 1.86, 95% CI 1.04 to 3.34); this was the only significant difference reported between the two drugs.",The risk of any pneumonia event (i.e. less serious cases that could be treated without going to hospital) was higher with fluticasone than with budesonide.,39,25,0.6410256410256411
CD010115,rephrase,"No significant difference in overall mortality rates was observed between either of the inhaled steroids and the control interventions (both high-quality evidence), and pneumonia-related deaths were too rare to permit conclusions to be drawn.","No more deaths overall were reported in the ICS groups compared with controls, and deaths related to pneumonia were too rare to tell either way.",34,25,0.7352941176470589
CD010115,rephrase,"Budesonide and fluticasone, delivered alone or in combination with a LABA, are associated with increased risk of serious adverse pneumonia events, but neither significantly affected mortality compared with controls.","Budesonide and fluticasone, delivered alone or in combination with LABA, can increase serious pneumonias that result in hospitalisation of people.",29,20,0.6896551724137931
CD010115,rephrase,The safety concerns highlighted in this review should be balanced with recent cohort data and established randomised evidence of efficacy regarding exacerbations and quality of life.,"These concerns need to be balanced with the known benefits of ICS (e.g. fewer exacerbations, improved lung function and quality of life).",26,22,0.8461538461538461
CD010115,rephrase,"Comparison of the two drugs revealed no statistically significant difference in serious pneumonias, mortality or serious adverse events.",Comparison of the two drugs revealed no difference in serious pneumonias or risk of death.,18,15,0.8333333333333334
CD010115,rephrase,"Fluticasone was associated with higher risk of any pneumonia when compared with budesonide (i.e. less serious cases dealt with in the community), but variation in the definitions used by the respective manufacturers is a potential confounding factor in their comparison.","Fluticasone was associated with a higher risk of any pneumonia (i.e. cases that could be treated in the community) than budesonide, but potential differences in the definition used by the respective drug manufacturers reduced our confidence in this finding.",40,39,0.975
CD010115,rephrase,"Primary research should accurately measure pneumonia outcomes and should clarify both the definition and the method of diagnosis used, especially for new formulations and combinations for which little evidence of the associated pneumonia risk is currently available.",Researchers should remain aware of the risks associated with ICS and should make sure that pneumonia is properly diagnosed in studies.,37,21,0.5675675675675675
CD006623,rephrase,We found no new studies.,"We found only four studies, which included a small total number of participants.",5,13,2.6
CD006623,rephrase,This updated review therefore includes four studies with 278 participants.,We included four studies in our review (278 participants).,10,9,0.9
CD006623,rephrase,"Most analyses were based on data from few participants and low-quality evidence, so our results should be interpreted with caution.","The evidence from the studies were of moderate to very low quality, and therefore our results should be interpreted with caution.",20,21,1.05
CD006623,rephrase,"Deliberate hypotension with propofol did not decrease TBL (millilitres) when compared with inhalation anaesthetics in either children (1 study; 70 participants; very low-quality evidence), or adults (1 study; 88 participants; moderate-quality evidence).",We found that propofol did not reduce measured overall blood loss in either children or adults (2 studies; 158 participants).,32,20,0.625
CD006623,rephrase,"Propofol improved the quality of the surgical field by less than one category on a scale from 0 (no bleeding) to 5 (severe bleeding) (mean difference -0.64, 95% CI -0.91 to -0.37; 4 studies; 277 participants; low-quality evidence), but no difference in operation time was reported (3 studies; 214 participants; low-quality evidence).","Propofol might improve the quality of the surgical field a little (4 studies; 277 participants), but there was no difference in operation time (3 studies; 214 participants).",52,27,0.5192307692307693
CD006623,rephrase,"Failure to lower blood pressure to target was less common in the propofol group (risk ratio of failure with propofol 0.24, 95% CI 0.09 to 0.66; 1 study; 88 participants; moderate-quality evidence).",Propofol was more reliable in achieving induced hypotension (1 study; 88 participants).,32,12,0.375
CD013252,rephrase,"We identified nine RCTs that met the inclusion criteria, but four were ongoing trials, and were not included in this analysis.","We identified nine studies that compared NOACs with warfarin, four of which were ongoing studies.",21,15,0.7142857142857143
CD013252,rephrase,"We included five RCTs, with 8373 participants, in the NMA (two RCTs compared apixaban to a vitamin K antagonist, two RCTs compared rivaroxaban to a vitamin K antagonist, and one RCT compared dabigatran to a vitamin K antagonist).",We included five trials involving 8373 participants in this review.,38,10,0.2631578947368421
CD013252,rephrase,Very low- to moderate-certainty evidence suggests that NOACs may be safer than vitamin K antagonists in terms of bleeding.,NOACs may be safer than warfarin.,19,6,0.3157894736842105
CD013252,rephrase,"Both high dose dabigatran (RR 0.53, 95% CI 0.29 to 0.97), and low dose dabigatran (RR 0.38, 95% CI 0.21 to 0.70) may reduce major bleeding more than vitamin K antagonists.",One of NOACs drugs (dabigatran) may reduce the rate of both major and non-major bleeding.,31,15,0.4838709677419355
CD013252,rephrase,The results from the NMA were inconclusive between the different NOACs for all primary and secondary outcomes.,There was no significant difference between NOACs agents in any primary or secondary outcomes.,17,14,0.8235294117647058
CD013252,rephrase,Very low- to moderate-certainty evidence suggests no meaningful difference in efficacy outcomes between non-vitamin K antagonist oral anticoagulants (NOAC) and vitamin K antagonists following percutaneous coronary interventions (PCI) in people with non-valvular atrial fibrillation.,"The evidence ranged from Very low- to moderate-certainty, indicating the need for more research on this issue.",34,17,0.5
CD013252,rephrase,NOACs probably reduce the risk of recurrent hospitalisation for adverse events compared with vitamin K antagonists.,"However, NOACs probably reduce the need for hospitalisation compared to warfarin.",16,11,0.6875
CD013252,rephrase,"Low- to moderate-certainty evidence suggests that dabigatran may reduce the rates of major and non-major bleeding, and apixaban and rivaroxaban probably reduce the rates of non-major bleeding compared with vitamin K antagonists.",Other NOAC drugs (apixaban and rivaroxaban) probably reduce the rate of non-major bleeding.,32,13,0.40625
CD005199,rephrase,Despite these limitations and potentially significant biases related to methodological quality there was evidence to suggest that a transverse or oblique incision has less impact on pulmonary function particularly in the early post-operative period and is less prone to rupture (wound dehiscence/incisional hernia).,"Nevertheless a trend was seen toward less analgesic requirement, less effect on pulmonary function and lower wound dehiscence and incisional hernia rates with a transverse incision.",43,26,0.6046511627906976
CD005199,rephrase,There was no difference seen in other early or late post-operative complications and recovery times were similar although the transverse incision may be cosmetically more acceptable.,"However, a transverse incision may be superior to a midline incision in terms of recovery and complications.",26,17,0.6538461538461539
CD005199,split,The analgesia use and the pulmonary compromise may be reduced with a transverse/oblique incision but this does not seem to be significant clinically as pulmonary complication rates and recovery times were the same.,"Outcomes included analgesic use, pulmonary function, complication rates and hospital stay. However, the lower pain and reduced effect on pulmonary function were not translated into other clinical advantages as recovery times and other complication rates (except cosmetic appearance) were similar.",33,40,1.2121212121212122
CD005199,rephrase,The optimal incision for abdominal surgery still remains the preference of the surgeon.,The choice of abdominal surgical incision is determined largely by access.,13,11,0.8461538461538461
CD004174,rephrase,We identified 10 RCTs with a total of 2361 participants that evaluated compression therapy.,We identified 10 randomised controlled trials with a total of 2361 participants that evaluated compression therapy (current until March 2017).,14,20,1.4285714285714286
CD004174,rephrase,The overall methodological quality of these trials was low.,"Overall, the included studies were of poor methodological quality.",9,9,1.0
CD004174,rephrase,"We did not pool data on the incidence of pulmonary embolism because this information was poorly reported, but we observed no differences between groups included in individual studies (low-quality evidence).",We found no clear differences in occurrence of pulmonary embolism (blockage of the artery in the lung) nor in reports of recurrent DVT.,30,23,0.7666666666666667
CD004174,rephrase,"Two studies evaluated effects of compression in the acute phase versus no compression treatment and found no differences in the incidence of PTS (RR 0.76, 95% CI 0.49 to 1.16; P = 0.2; 101 participants).","Compression in the acute phase of DVT compared with ""no compression"" treatment did not significantly lower PTS incidence.",35,18,0.5142857142857142
CD004174,rephrase,"One study reported that thigh-length stockings did not provide better protection against development of PTS than knee-length stockings (RR 0.92, 95% CI 0.66 to 1.28; P = 0.6; 267 participants).",Thigh-length stockings did not provide better protection against development of PTS than knee-length stockings.,30,14,0.4666666666666667
CD004174,ignore,Another trial reported that wearing compression stockings for two years seemed to be superior to wearing them for one year in terms of PTS incidence.,One trial reported that wearing compression stockings for two years seemed to be superior to wearing them for one year in terms of PTS incidence.,25,25,1.0
CD004174,rephrase,"The first study showed significant improvement in well-being and DVT-related quality of life with compression treatment (P < 0.05) compared with bed rest, and the second study showed no differences in quality of life scores between compression and placebo groups.","Compression treatment did not seem to improve quality of life, except during the first nine days after DVT, but we could draw no real conclusions regarding this outcome.",40,28,0.7
CD004174,rephrase,"Four studies poorly reported side effects (low-quality evidence) that included itching, erythema, and other forms of allergic reaction and described no serious adverse events.","Side effects included itching, erythema, and other forms of allergic reaction.",24,11,0.4583333333333333
CD004174,rephrase,Compliance with wearing of compression stockings was generally high but varied across studies.,The study investigators reported no serious adverse events and indicated that compliance with use of compression stockings was generally high but varied across studies.,13,24,1.8461538461538463
CD013714,rephrase,"We included two RCTs, with a total of 122 participants.","We included two RCTs, with a total of 122 people with HAEC.",10,12,1.2
CD013714,rephrase,"The evidence is very uncertain about the effect of probiotics on the occurrence of HAEC (OR 0.58, 95% CI 0.10 to 3.43; I² = 74%; 2 studies, 120 participants; very low-certainty evidence).",We are very uncertain whether there was a difference in the occurrence of HAEC between the group receiving probiotics and the group receiving placebo.,32,24,0.75
CD013714,rephrase,We found one included study that did not measure serious adverse events and one included study that reported no serious adverse events related to probiotics.,No serious adverse events were reported.,25,6,0.24
CD013714,merge,"The effects of probiotics on the severity of HAEC at Grade II are very uncertain (OR 1.14, 95% CI 0.01 to 136.58; I² = 86%; 2 studies, 120 participants; very low-certainty evidence).",We are very uncertain about the effect of probiotics on the severity of HAEC.,32,14,0.4375
CD013714,ignore,No overall mortality or withdrawals due to adverse events were reported.,No overall mortality or withdrawals due to adverse events were reported.,11,11,1.0
CD013714,rephrase,"Probiotics may result in little to no difference in the recurrence of episodes of HAEC compared to placebo (OR 0.85, 95% CI 0.24 to 3.00; 1 study, 60 participants; low-certainty evidence).",There was little or no difference in the recurrence of HAEC between the two groups.,31,15,0.4838709677419355
CD008168,rephrase,We included 12 RCTs (1600 infants) in the review.,"Of these, 12 studies (involving a total of 1600 infants) were eligible for inclusion in this review.",9,17,1.8888888888888888
CD008168,rephrase,There is one ongoing study and four awaiting classification.,One study is currently ongoing and four are awaiting classification.,9,10,1.1111111111111112
CD008168,rephrase,One study involving 60 infants reported no incidence of bilirubin induced brain dysfunction (BIND).,Our primary outcomes of interest were the rate of fall in the serum bilirubin levels and bilirubin-induced brain dysfunction (BIND).,14,20,1.4285714285714286
